Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-1,7/3/2017 12:25,19.56,16.2,109,27
BTU-2,7/3/2017 12:25,20.9,16.29,97.5,33.1
BTU-1,7/3/2017 12:20,19.57,16.17,112.9,28.3
BTU-2,7/3/2017 12:20,20.86,16.28,97,32.8
BTU-1,7/3/2017 12:15,19.54,16.2,112.7,27.7
BTU-2,7/3/2017 12:15,20.79,16.27,96.7,32.2
BTU-1,7/3/2017 12:10,19.5,16.2,112.8,27.3
BTU-2,7/3/2017 12:10,20.72,16.27,97.5,32
BTU-1,7/3/2017 12:05,19.49,16.18,108.6,26.5
BTU-2,7/3/2017 12:05,20.69,16.21,97.8,32.2
BTU-1,7/3/2017 12:00,19.42,16.11,113.9,27.8
BTU-2,7/3/2017 12:00,20.67,16.17,96.7,32.1
BTU-1,7/3/2017 11:55,19.36,16.07,108.8,26.4
BTU-2,7/3/2017 11:55,20.63,16.12,97.8,32.5
BTU-1,7/3/2017 11:50,19.31,15.97,112.3,27.6
BTU-2,7/3/2017 11:50,20.61,16.04,97.6,32.8
BTU-1,7/3/2017 11:45,19.31,15.94,114.3,28.4
BTU-2,7/3/2017 11:45,20.56,15.99,96.8,32.6
BTU-1,7/3/2017 11:40,19.26,15.88,109.5,27.3
BTU-2,7/3/2017 11:40,20.55,15.96,96.7,32.7
BTU-1,7/3/2017 11:35,19.15,15.82,112,27.5
BTU-2,7/3/2017 11:35,20.45,15.91,96.7,32.4
BTU-1,7/3/2017 11:30,19.09,15.82,113.2,27.3
BTU-2,7/3/2017 11:30,20.41,15.84,97.1,32.7
BTU-1,7/3/2017 11:25,19.14,15.87,111.2,26.8
BTU-2,7/3/2017 11:25,20.43,15.84,96.3,32.6
BTU-1,7/3/2017 11:20,19.15,15.82,112.1,27.5
BTU-2,7/3/2017 11:20,20.37,15.78,97.6,33
BTU-1,7/3/2017 11:15,19.04,15.72,113,27.7
BTU-2,7/3/2017 11:15,20.35,15.84,97.2,32.3
BTU-1,7/3/2017 11:10,19.04,15.7,112.1,27.6
BTU-2,7/3/2017 11:10,20.24,15.88,97.4,31.3
BTU-1,7/3/2017 11:05,18.65,15.78,131,27.7
BTU-2,7/3/2017 11:05,19.98,15.81,113.7,35
BTU-1,7/3/2017 11:00,18.98,15.63,121.4,30
BTU-2,7/3/2017 11:00,20.2,15.69,108,35.9
BTU-1,7/3/2017 10:55,18.98,15.61,111.5,27.7
BTU-2,7/3/2017 10:55,20.15,15.61,95.3,31.9
BTU-1,7/3/2017 10:50,18.87,15.55,111.9,27.4
BTU-2,7/3/2017 10:50,20.09,15.64,95.5,31.3
BTU-1,7/3/2017 10:45,18.81,15.46,110.3,27.3
BTU-2,7/3/2017 10:45,20.08,15.55,95,31.7
BTU-1,7/3/2017 10:40,18.91,15.43,105.7,27.1
BTU-2,7/3/2017 10:40,20.12,15.56,94.2,31.7
BTU-1,7/3/2017 10:35,19.04,15.5,102.9,26.9
BTU-2,7/3/2017 10:35,20.12,15.61,90.2,30
BTU-1,7/3/2017 10:30,19.11,15.51,100.1,26.6
BTU-2,7/3/2017 10:30,20.12,15.6,85.5,28.6
BTU-1,7/3/2017 10:25,18.98,15.56,102.6,25.9
BTU-2,7/3/2017 10:25,20.03,15.61,87,28.3
BTU-1,7/3/2017 10:20,18.89,15.56,109.5,26.9
BTU-2,7/3/2017 10:20,20.04,15.67,94.4,30.5
BTU-1,7/3/2017 10:15,19.02,15.61,105.6,26.5
BTU-2,7/3/2017 10:15,20.12,15.72,93.5,30.4
BTU-1,7/3/2017 10:10,19.1,15.64,102.8,26.2
BTU-2,7/3/2017 10:10,20.15,15.74,89.8,29.2
BTU-1,7/3/2017 10:05,18.98,15.65,105.3,25.9
BTU-2,7/3/2017 10:05,20.04,15.74,91.6,29
BTU-1,7/3/2017 10:00,18.96,15.65,111.7,27.3
BTU-2,7/3/2017 10:00,20.07,15.78,96.3,30.4
BTU-1,7/3/2017 9:55,19.08,15.76,107.6,26.3
BTU-2,7/3/2017 9:55,20.14,15.81,94.6,30.2
BTU-1,7/3/2017 9:50,19.17,15.73,107.8,27.3
BTU-2,7/3/2017 9:50,20.2,15.79,90.5,29.4
BTU-1,7/3/2017 9:45,19.24,15.72,100.4,26
BTU-2,7/3/2017 9:45,20.16,15.79,87.5,28.2
BTU-1,7/3/2017 9:40,19.04,15.67,101.4,25.2
BTU-2,7/3/2017 9:40,20.04,15.75,89.2,28.3
BTU-1,7/3/2017 9:35,18.94,15.65,109.7,26.6
BTU-2,7/3/2017 9:35,20.04,15.74,95.3,30.3
BTU-1,7/3/2017 9:30,19,15.67,111,27.3
BTU-2,7/3/2017 9:30,20.16,15.75,96.5,31.4
BTU-1,7/3/2017 9:25,19.17,15.75,107.8,27.2
BTU-2,7/3/2017 9:25,20.26,15.87,91.4,29.6
BTU-1,7/3/2017 9:20,19.36,15.8,99.2,26
BTU-2,7/3/2017 9:20,20.25,15.91,89.3,28.6
BTU-1,7/3/2017 9:15,19.2,15.81,98.8,24.8
BTU-2,7/3/2017 9:15,20.11,15.86,85.4,26.7
BTU-1,7/3/2017 9:10,19,15.68,107.6,26.3
BTU-2,7/3/2017 9:10,20.02,15.73,91.1,28.8
BTU-1,7/3/2017 9:05,18.95,15.65,110.5,26.9
BTU-2,7/3/2017 9:05,20.06,15.76,96.6,30.6
BTU-1,7/3/2017 9:00,19.02,15.67,113.1,27.9
BTU-2,7/3/2017 9:00,20.11,15.81,95.6,30.3
BTU-1,7/3/2017 8:55,19.09,15.77,110.9,27.1
BTU-2,7/3/2017 8:55,20.14,15.87,94.5,29.7
BTU-1,7/3/2017 8:50,19.12,15.83,110.7,26.9
BTU-2,7/3/2017 8:50,20.14,15.92,96.3,30
BTU-1,7/3/2017 8:45,19.12,15.85,109.7,26.4
BTU-2,7/3/2017 8:45,20.12,15.92,96.1,29.8
BTU-1,7/3/2017 8:40,19.12,15.87,110.6,26.5
BTU-2,7/3/2017 8:40,20.14,15.93,95.9,29.7
BTU-1,7/3/2017 8:35,19.08,15.83,109.4,26.2
BTU-2,7/3/2017 8:35,20.12,15.89,95.6,29.8
BTU-1,7/3/2017 8:30,19.08,15.77,111.1,27.1
BTU-2,7/3/2017 8:30,20.12,15.88,96.8,30.3
BTU-1,7/3/2017 8:25,19.08,15.77,113.8,27.8
BTU-2,7/3/2017 8:25,20.16,15.91,97.6,30.6
BTU-1,7/3/2017 8:20,19.14,15.8,110.7,27.2
BTU-2,7/3/2017 8:20,20.19,15.93,97.5,30.6
BTU-1,7/3/2017 8:15,19.17,15.87,110.7,26.9
BTU-2,7/3/2017 8:15,20.27,16,96.6,30.4
BTU-1,7/3/2017 8:10,19.29,15.93,111.7,27.8
BTU-2,7/3/2017 8:10,20.27,16.04,96.5,30.1
BTU-1,7/3/2017 8:05,19.34,16.01,112,27.5
BTU-2,7/3/2017 8:05,20.28,16.12,95.4,29.2
BTU-1,7/3/2017 8:00,19.25,16.02,109.8,26.1
BTU-2,7/3/2017 8:00,20.27,16.12,95.7,29.3
BTU-1,7/3/2017 7:55,19.31,16.03,109.2,26.4
BTU-2,7/3/2017 7:55,20.31,16.12,96.1,29.6
BTU-1,7/3/2017 7:50,19.34,16.06,107.9,26.1
BTU-2,7/3/2017 7:50,20.32,16.12,95.3,29.5
BTU-1,7/3/2017 7:45,19.34,16.06,112,27.1
BTU-2,7/3/2017 7:45,20.33,16.17,96,29.4
BTU-1,7/3/2017 7:40,19.36,16.14,112.3,26.6
BTU-2,7/3/2017 7:40,20.31,16.17,95.3,29.1
BTU-1,7/3/2017 7:35,19.35,16.09,111,26.7
BTU-2,7/3/2017 7:35,20.29,16.12,97,29.7
BTU-1,7/3/2017 7:30,19.33,16.04,110.9,26.8
BTU-2,7/3/2017 7:30,20.29,16.14,96.6,29.6
BTU-1,7/3/2017 7:25,19.35,16.04,110.4,26.9
BTU-2,7/3/2017 7:25,20.34,16.1,96.4,30.1
BTU-1,7/3/2017 7:20,19.43,16.11,111.3,27.2
BTU-2,7/3/2017 7:20,20.48,16.16,95.3,30.3
BTU-1,7/3/2017 7:15,19.53,16.18,110.9,27.4
BTU-2,7/3/2017 7:15,20.56,16.37,96.3,29.7
BTU-1,7/3/2017 7:10,19.62,16.35,108.5,26.1
BTU-2,7/3/2017 7:10,20.54,16.52,95.9,28.4
BTU-1,7/3/2017 7:05,19.43,16.67,111.4,22.6
BTU-2,7/3/2017 7:05,20.18,16.54,96,25.7
BTU-1,7/3/2017 7:00,19.19,15.98,111.2,26.3
BTU-2,7/3/2017 7:00,20.15,15.98,95.6,29.4
BTU-1,7/3/2017 6:55,19.17,15.89,111.4,26.9
BTU-2,7/3/2017 6:55,20.17,15.99,96.2,29.6
BTU-1,7/3/2017 6:50,19.2,15.93,109.3,26.4
BTU-2,7/3/2017 6:50,20.16,16.01,97,29.7
BTU-1,7/3/2017 6:45,19.16,15.93,108.8,25.9
